"year","ccode","country"
2020,"FJI","Fiji"
2020,"TON","Tonga"
2020,"BGD","Bangladesh"
2020,"IND","India"
2020,"DOM","Dominican Republic"
2020,"PRI","Puerto Rico"
2020,"USA","United States"
2020,"MEX","Mexico"
2020,"USA","United States"
2020,"KHM","Cambodia"
2020,"VNM","Vietnam"
2020,"PHL","Philippines"
2020,"VNM","Vietnam"
2020,"COL","Colombia"
2020,"GTM","Guatemala"
2020,"NIC","Nicaragua"
2020,"PAN","Panama"
2020,"MEX","Mexico"
2020,"USA","United States"
2020,"COL","Colombia"
2020,"NIC","Nicaragua"
2021,"AUS","Australia"
2021,"IDN","Indonesia"
2021,"LCA","St. Lucia"
2021,"USA","United States"
2021,"CUB","Cuba"
2021,"USA","United States"
2021,"PHL","Philippines"
2021,"VNM","Vietnam"
2022,"CUB","Cuba"
2022,"USA","United States"
2022,"NIC","Nicaragua"
2022,"SLV","El Salvador"
2023,"CAN","Canada"
2023,"USA","United States"
2020,"KEN","Kenya"
2020,"SOM","Somalia"
